,county_state,Unnamed: 0,kfr_pooled_pooled_p25,hs_pooled_pooled_p25,coll_pooled_pooled_p25,comcoll_pooled_pooled_p25,pm25_1982_binary,pm25_1982,pm25_1990,pm25_2000,pm25_2010,frac_coll_plus2000,med_hhinc1990,popdensity2000,poor_share1990,share_black2000,share_white2000,share_hisp2000,share_asian2000,emp2000,census_region,mean_winter_prcp,mean_winter_tmin,mean_summer_prcp,mean_summer_tmax
0,1001,5.5,0.3658584213256836,0.7249039,0.13836518,0.18387114,1.0,23.986832275390626,19.700824584960937,16.586783447265624,11.49506164550781,0.15859238058328626,28187.5,162.5701675415039,0.14565752819180486,0.13547652214765546,0.8328885138034821,0.013111466076225,0.00272567768115545,0.5875304341316223,3.0,6.6437927345434815,3.605928616859538,3.3394189507184215,32.265354736991554
1,1003,27.0,0.3937065505981445,0.75026613,0.19983748,0.27678633,0.0,19.148466796875,15.609832763671877,13.569393310546875,9.296849365234374,0.2106409519910812,26285.0,74.77677917480469,0.1395793408155441,0.0583070702850818,0.9131022095680236,0.0164805948734283,0.0026180648710578,0.5663021206855774,3.0,6.140124565859636,6.86238939993911,6.16938934896303,32.098815150882885
2,1005,46.5,0.3487086868286132,0.7524039,0.14563176,0.25010252,0.5,20.875882119283602,17.414421213811814,14.654769287109376,10.191007385253906,0.0893594846129417,18043.189071301156,13.329230785369873,0.24580730497837064,0.4488553255796432,0.5095755755901337,0.0126562402583658,0.0015723459073342001,0.523383617401123,3.0,5.318353235570733,4.450860400627263,4.569194366375957,32.257574309473455
3,1007,52.5,0.3569621467590332,0.693255,0.09472583,0.1358045,1.0,22.77986572265625,19.191964721679685,15.752973632812498,10.93626708984375,0.059928927570581395,21697.06334422384,12.853963375091553,0.1792090982198715,0.11698264256119725,0.8649826645851135,0.008682172745466201,0.00050747347995635,0.550428718328476,3.0,6.327260197947423,2.5402560965054555,4.011861763884437,31.801686504612803
4,1009,59.0,0.3933743667602539,0.6815445,0.124803185,0.26065212,1.0,23.448017578125,19.8154296875,16.327874755859376,10.9635205078125,0.0902555882930755,21137.603145385965,32.43756866455078,0.1447566449642181,0.0037527158856391,0.9439067840576172,0.0442425422370433,0.0011850681621581,0.5644645094871521,3.0,5.8272198339303305,0.6739050908790308,3.931139683755842,31.08104239339413
5,1011,64.5,0.36062303543090823,0.69024223,0.1732786,0.23278469,1.0,21.648635014693614,18.101485815922484,15.363172540175402,10.492398080529034,0.0923698656260967,16289.069311419102,10.757278203964233,0.3425772786140442,0.660750687122345,0.3048217296600342,0.0251636016182601,0.0015219381602946,0.4138757884502411,3.0,5.68317029683482,3.7430737608422824,3.5494117502264846,32.164212828097135
6,1013,69.0,0.3580351257324218,0.7397728,0.11805845,0.18308088,1.0,21.8057080078125,17.963824462890624,15.182036132812502,10.715675048828125,0.1048876196146011,14701.0,17.416030883789062,0.3281056582927704,0.4489270448684692,0.5390557646751404,0.0078793335705995,0.0006570302066393,0.5028759241104126,3.0,5.850440579818353,4.216568310310444,4.899561679557615,32.30706225270811
7,1015,86.5,0.36944192886352534,0.71213573,0.17458262,0.2435198,1.0,23.770618896484372,20.394921875,16.631006086594986,11.530611572265624,0.12298653647303576,24061.85307945463,179.33197021484375,0.14667178690433497,0.13453966379165644,0.8367909789085388,0.01232954161241645,0.0026608499465509503,0.5413990616798401,3.0,7.3159841709666775,1.0600047936249104,3.4136254509263058,31.121104592862345
8,1017,105.0,0.3383819580078125,0.74578553,0.11346496,0.20734552,1.0,21.66396240234375,18.321982421875,15.550870361328125,10.595926513671875,0.0999228358268737,20413.484521442773,58.5290641784668,0.1755920648574829,0.3543144762516022,0.6269168853759766,0.0068665598519146,0.0012496529379859,0.5474651455879211,3.0,6.363412784867816,2.520190342929629,3.254862668721573,31.699606853982672
9,1019,112.5,0.3723496055603027,0.7156627,0.15882742,0.22928636,1.0,23.307659912109372,20.166804809570312,16.426983032226563,11.247604980468749,0.08212447538971895,21206.0,16.782182693481445,0.18679261207580566,0.0567361675202846,0.9267071485519409,0.00632551871240135,0.0012486176565288999,0.5325112640857697,3.0,7.128040390213332,0.6195498252080541,3.074604687483413,30.775482374688853
10,1021,120.0,0.3839171600341797,0.730435,0.1328356,0.23301229,1.0,22.90084228515625,18.77532470703125,16.226937255859376,11.178446044921875,0.0958945155143737,19944.0,27.20012664794922,0.1733187586069107,0.0841881185770034,0.8686553835868835,0.028268551453948,0.0010624170536175,0.5809270739555359,3.0,6.6329123788409765,2.625268330466416,4.10474655939185,31.67795637379522
11,1023,126.0,0.4319636154174804,0.7445785,0.1438448,0.2501727,0.0,20.8170849609375,17.1529443359375,14.054107666015623,10.11464599609375,0.0868800580501556,18616.0,6.894108295440674,0.2565315663814544,0.3604471981525421,0.6291441917419434,0.006162597797811,0.000474045984447,0.4375,3.0,6.14796714882056,3.892485478437609,4.56946106672125,33.04454654196035
12,1025,131.0,0.3806594467163086,0.7494258,0.17850587,0.28036457,0.0,20.674543958522516,17.099484813132122,14.507420654296876,10.253231082526382,0.1511765569448471,20415.551231887785,9.287723541259766,0.2194567024707794,0.4246066510677337,0.559003472328186,0.006993006914854,0.0022681741975247,0.5115453004837036,3.0,6.712226049436464,4.387667442030375,4.84279407577022,33.11312617426333
